dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
,4.8 ounces,http://www.amazon.com/Aftermarket-Replacement-W10350376-Whirlpool-Dishwasher/dp/B00LOWZO36,$13.95,127,Parts & Accessories,Appliances,29,Aftermarket Replacement W10350376 Whirlpool Kitchen Aid Dishwasher Adjuster W/ Wheels W10253546
15.8 x 20.4 x 11.7 inches,35.3 pounds,http://www.amazon.com/Samsung-Counter-Microwave-Cubic-Stainless/dp/B00NXRHIO8,$159.00,42,Kitchen & Dining,Home & Kitchen,28,"Samsung Counter Top Microwave, 1.1 Cubic Feet, Stainless Steel"
2.2 x 2.2 x 8.5 inches,9.6 ounces,http://www.amazon.com/Maytag-UKF8001-Compatible-Water-Filter/dp/B00KV0SKQK,$19.99,355,Parts & Accessories,Appliances,25,Maytag UKF8001 Pur Compatible Water Filter - Refrigerators Model No WFC1801
18.1 x 20.9 x 29.2 inches,58.6 pounds,http://www.amazon.com/NewAir-AW-281E-Bottle-Thermoelectric-Cooler/dp/B002ZV0OJO,$181.99,225,Kitchen & Dining,Home & Kitchen,27,NewAir AW-281E 28 Bottle Thermoelectric Wine Cooler
18.5 x 19.4 x 33 inches,52.2 pounds,http://www.amazon.com/WHD-113FB1-Full-Size-Reversible-Refrigerator-Freezer/dp/B00MVVIMFG,$169.42,56,Refrigerators,Appliances,23,"midea WHD-113FB1 Full-Size Double Reversible Door Refrigerator and Freezer, 3.1 Cubic Feet, Black"
14.8 x 8 x 4 inches,1.1 pounds,http://www.amazon.com/InterDesign-Fridge-Freezer-Storage-14-5-Inch/dp/B003E1W9G0,$14.77,470,Kitchen & Dining,Home & Kitchen,26,"InterDesign Fridge and Freezer Storage Bin, 8-Inch by 4-Inch by 14.5-Inch, Clear"
,8 ounces,http://www.amazon.com/WaterSentinel-WSG-4-Comparable-Water-Filter/dp/B00J5OXNFG,$24.99,97,Parts & Accessories,Appliances,24,WaterSentinel WSG-4 GE RPWF Comparable Water Filter
8 x 8 x 8 inches,1.4 pounds,http://www.amazon.com/Breathing-Mobile-Washer-Operated-emergencies/dp/B00WVTXVMC,$15.99,478,Washers & Dryers,Appliances,22,"Breathing Mobile Washer - Hand Operated Washing Machine - Rapid - Mobile - portable handheld manual clothes washer - great for daily use, dorms, camping, emergencies - eco - green - handle not included"
11 x 8 x 11 inches,5 pounds,http://www.amazon.com/Koolatron-KWC-4-Coca-Cola-Personal-Fridge/dp/B000JLNBW4,$40.99,996,Kitchen & Dining,Home & Kitchen,21,Koolatron KWC-4 Coca-Cola Personal 6-Can Mini Fridge
24 x 8 x 8 inches,1.2 pounds,http://www.amazon.com/Ball-Clothes-Washer-Operated-Threaded/dp/B002QUAPSO,$19.62,157,Washers & Dryers,Appliances,17,Ball Clothes Washer - Hand Operated Washing Machine - Rapid - Mobile - Manual Clothes Washer - *Threaded handle included* - Eco - Green.
6 x 1 x 8 inches,0.8 ounces,http://www.amazon.com/PureAir-Universal-Air-Filter-SCPUREAIR2PK/dp/B0049PPNX6,$18.87,116,Kitchen & Dining,Home & Kitchen,16,PureAir Universal Air Filter - 2 Pack Frigidaire SCPUREAIR2PK
,15.2 ounces,http://www.amazon.com/Whirlpool-Ice-Maker-Water-Filter/dp/B00J8HGRNK,$44.69,34,Kitchen & Dining,Home & Kitchen,15,Whirlpool Ice Maker Water Filter - F2WC9I1 ICE2
8.3 x 2.7 x 2.5 inches,12 ounces,http://www.amazon.com/Maytag-UKF8001-Compatible-Refrigerator-Filters/dp/B00UIZLE48,$22.95,203,Parts & Accessories,Appliances,9,Maytag UKF8001 Pur Compatible Refrigerator Water Filter *** Filters 50% More Water Than OEM ***
,1.6 ounces,http://www.amazon.com/3387134-3392519-CYCLING-THERMOSTAT-INTERNAL/dp/B00MGRCX28,$7.49,70,Parts & Accessories,Appliances,14,"1 X 3387134 AND 3392519 DRYER CYCLING THERMOSTAT WITH INTERNAL BIAS HEATER OPENS AT 155F, CLOSES AT 130F & THERMAL FUSE for All Major Brand Dryers"
,1.3 pounds,http://www.amazon.com/OnePurify-Replacement-Cartridge-Kenmore-Sentinel/dp/B00NQ9ZN9U,$38.00,212,Parts & Accessories,Appliances,13,"3-pack OnePurify  Water Filter Replacement Cartridge for LG, Kenmore, Water Sentinel"
11 x 14.8 x 14.7 inches,21.2 pounds,http://www.amazon.com/Avalon-Bay-AB-ICE26S-Portable-Maker/dp/B00IY7BNUW,$149.95,775,Ice Makers,Appliances,11,Avalon Bay AB-ICE26S Portable Ice Maker
19.1 x 14.8 x 11.2 inches,24.2 pounds,http://www.amazon.com/Danby-DMW7700BLDB-0-7-Microwave-Oven/dp/B004ZUWBVW,$55.99,865,Kitchen & Dining,Home & Kitchen,10,Danby DMW7700BLDB 0.7 cu. ft. Microwave Oven - Black
11.5 x 13.9 x 19.5 inches,5.9 pounds,http://www.amazon.com/Desk-Oscillating-11-5-12x13-15-16x19-21/dp/B000EFJ8Z4,$30.00,222,"Heating, Cooling & Air Quality",Home & Kitchen,12,"1 X Desk Fan, 12 Oscillating, 11-5/12x13-15/16x19-21/43,LGY"
14 x 17.3 x 10.1 inches,22.5 pounds,http://www.amazon.com/Danby-Designer-Countertop-Microwave-Stainless/dp/B0055UBB4O,$63.20,865,Kitchen & Dining,Home & Kitchen,7,"Danby Designer 0.7 cu.ft. Countertop Microwave, Black/Stainless Steel"
19.8 x 17.9 x 33.7 inches,68.9 pounds,http://www.amazon.com/Danby-DBC120BLS-Beverage-Center-Stainless/dp/B002MPLYEW,$199.00,991,Beverage Refrigerators,Appliances,8,Danby DBC120BLS Beverage Center - Stainless Steel
,0.3 ounces,http://www.amazon.com/LG-LT120F-Fresh-Air-Filter/dp/B009SANIDO,$11.99,221,Building Supplies,Tools & Home Improvement,5,LG LT120F Fresh Air Filter
9.8 x 12.2 x 11.6 inches,6.4 ounces,http://www.amazon.com/Model-Premium-Unbreakable-Air-Deflector/dp/B00009W3G7,$6.35,671,Building Supplies,Tools & Home Improvement,4,Model 50 Premium Unbreakable Air Deflector
7.2 x 2 x 2 inches,4 ounces,http://www.amazon.com/Whirlpool-W10295370A-Compatible-Water-Filter/dp/B00SNKU7VQ,$22.99,161,Parts & Accessories,Appliances,3,Whirlpool W10295370A Compatible Water Filter - Refrigerator
