dimensions,weight,url,price,reviews,subDepartment,department,departmentRank,name
1.8 x 3.9 x 7.5 inches,0.3 ounces,http://www.amazon.com/Outdoor-Products-Camping-Flask-Clear/dp/B00G241K1G,$7.00,3,Outdoor Recreation,Sports & Outdoors,"250,248","Outdoor Products Camping Flask, Clear"
,4 ounces,http://www.amazon.com/NCAA-University-Arkansas-Razorbacks-Flask/dp/B00307QOXW,$22.99,2,Outdoor Recreation,Sports & Outdoors,"244,657",NCAA University of Arkansas Razorbacks Hip Flask
,4.8 ounces,http://www.amazon.com/Porta-Flasks-Cruise-Liquor-Bags/dp/B00XBIW6R8,$21.77,22,Outdoor Recreation,Sports & Outdoors,"246,813","Porta Flasks Cruise Liquor Bags Kit - Sneak Alcohol on Cruises - Whiskey Runner Concealable & Reusable Heavy Duty Rum Smugglers Bags (3 X 32 Oz, 3 X 16 Oz, 2 X 8 Oz)"
,0.8 ounces,http://www.amazon.com/16oz-Easy-Traveler-Flask-Funnel/dp/B000F5M9RW,$9.90,42,Outdoor Recreation,Sports & Outdoors,"240,137",16oz Easy Traveler Flask with Funnel
,1 pounds,http://www.amazon.com/BLACK-HAWK-INC-65SH00-BLACKHAWK/dp/B004T19S1I,$45.70,19,Sports & Fitness,Sports & Outdoors,"241,100",BLACKHAWK! Side Hydration Pouch
,6.1 ounces,http://www.amazon.com/Smuggs-Jugs-Guaranteed-Saddlebags-Tailgating/dp/B00S8OYR7C,$23.95,1,Outdoor Recreation,Sports & Outdoors,"234,617","#4490 Smuggs Jugs Combo Kit (3-60oz, 3-20oz, 4-12oz) Perfect for Sneaking Tons of Wine or Liquor on a cruise. Save Tons of Money and Have Lots of Fun While Doing it!! Bring Your Own Rum Runner, Mojitos, Wine, Booze or Water. 100% Guaranteed, Great for In Town Saddlebags, Coolers, Tailgating, and Freezer Safe"
8.8 x 4 x 1 inches,5.6 ounces,http://www.amazon.com/CamelBak-Replacement-Big-Bite-Valve/dp/B0052O0Y4G,,56,Outdoor Recreation,Sports & Outdoors,"231,563","CamelBak Bottle Accessory Bite Valves (Multicolor, Pack of 5)"
5 x 2 x 8.5 inches,8 ounces,http://www.amazon.com/Rivers-Edge-Design-Stainless-Loading/dp/B002PNK8AC,$9.99,6,Outdoor Recreation,Sports & Outdoors,"240,098",River's Edge Camo Design Stainless Steel Flask with Loading Funnel
,,http://www.amazon.com/CamelBak-Linchpin-Hydration-Backpack-102/dp/B00JTOGGEC,$155.91,36,Outdoor Recreation,Sports & Outdoors,"241,074",CamelBak - Linchpin Hydration Backpack - 102 oz (3.1 L)
,,http://www.amazon.com/Sigg-Viva-Screw-Flask-Litre/dp/B00KT2Z3CE,$8.95,1,Sports & Fitness,Sports & Outdoors,"229,665",Sigg Viva Screw Top Flask 0.75 Litre
,1 pounds,http://www.amazon.com/Liberty-Mountain-342622-P-Bota-Bag/dp/B008YVJP08,$10.05,10,Outdoor Recreation,Sports & Outdoors,"217,748",Liberty Mountain Bota Bag
10.5 x 6.5 x 3.5 inches,0.3 ounces,http://www.amazon.com/Rum-Runner-023-32oz-Traveler/dp/B003JQP37M,$11.50,36,Outdoor Recreation,Sports & Outdoors,"215,917",32oz Traveler
,0.8 ounces,http://www.amazon.com/Camelbak-Protective-Adapter-Canadian-90522-A/dp/B0058EPXKA,$2.60,1,Outdoor Recreation,Sports & Outdoors,"214,552","Camelbak Protective Mask Adapter, Type M (Canadian C4) 90522-A"
3.2 x 1.1 x 3.6 inches,6.4 ounces,http://www.amazon.com/Visol-Stainless-Leatherette-Engraving-6-Ounce/dp/B00D1V2JOK,$18.50,1,Outdoor Recreation,Sports & Outdoors,"120,596","Visol ""Wallet"" Stainless Steel Leatherette Liquor Flask with Engraving Plate, 6-Ounce, Black"
,1.6 ounces,http://www.amazon.com/Booze-Buddy-Concealable-Flasks-16oz/dp/B00JTDXSEO,$17.99,4,Outdoor Recreation,Sports & Outdoors,"216,548","Booze Buddy Concealable Flasks 8 Pack (2 Gal, 2 1/2 Gal, 2 16oz., 2 8oz.)"
,7.8 ounces,http://www.amazon.com/19th-Hole-Runner%C2%AE-Flask-Funnel/dp/B000F5OCQ8,$11.95,21,Outdoor Recreation,Sports & Outdoors,"213,677","19th Hole Rum Runner® Flask Kit 1 32oz, 1 16oz and 1 8oz Flask Plus a Funnel"
,,http://www.amazon.com/CamelBak-Hi-Viz-Hydration-Pack/dp/B00JTOGG74,$76.00,15,Outdoor Recreation,Sports & Outdoors,"203,013",CamelBak - Hi-Viz Hydration Pack
,2.4 ounces,http://www.amazon.com/Concealable-And-Reusable-Cruise-Flask/dp/B00VUDD4KY,$13.99,273,Kitchen & Dining,Home & Kitchen,"115,368",Concealable And Reusable Cruise Flask Kit - Sneak Alcohol Anywhere - 3 x 16 oz + 3 x 8 oz + 1 funnel
,1.6 ounces,http://www.amazon.com/TOAKS-Titanium-Wine-Flask-100ml/dp/B009MRUMUA,$45.00,8,Outdoor Recreation,Sports & Outdoors,"202,206",TOAKS Titanium Wine Flask 100ml
,2.4 ounces,http://www.amazon.com/Lexan-Camping-Utensil-Emergency-Zone/dp/B00WA9DJTS,,86,Outdoor Recreation,Sports & Outdoors,"74,808","Lexan 3pc Camping Utensil Set, Emergency Zone Brand (1 Set)"
,,http://www.amazon.com/Durable-Folding-Footbath-Outdoor-Camping/dp/B0132I8R1U,$9.99,,Outdoor Recreation,Sports & Outdoors,"80,419",MyMei® Durable Folding Wash Basin Footbath Sink Water Bag for Outdoor Camping Hiking
10 x 4 x 10 inches,1.6 ounces,http://www.amazon.com/Big-Sky-International-Insulite-Metallic/dp/B00Y4TZ0UI,$11.95,,Outdoor Recreation,Sports & Outdoors,"72,538","Big Sky International Insulite Cozy Food Pouch, Metallic Silver"
3.1 x 0.8 x 1.8 inches,0.3 ounces,http://www.amazon.com/UST-Blue-Gear-Pepper-Shaker/dp/B00RJT8XHC,$7.71,4,Outdoor Recreation,Sports & Outdoors,"75,713","UST Blue Sky Gear Salt and Pepper Shaker, Blue"
8 x 4 x 1 inches,0.3 ounces,http://www.amazon.com/Yari-Titanium-Spork-Utility-Carabiner/dp/B00M8O658C,$14.99,34,Outdoor Recreation,Sports & Outdoors,"79,605","Yari, the Titanium Spork with Utility Carabiner"
,5 pounds,http://www.amazon.com/Kitchen-Stainless-Steel-Utensil-Canvas/dp/B00OI7IAPI,$66.81,3,Outdoor Recreation,Sports & Outdoors,"71,044",Camp Kitchen Stainless Steel Utensil Set with Canvas Wrap Tote Bag - by Front Runner
20 x 1 x 1 inches,4.8 ounces,http://www.amazon.com/Romes-3200-Extension-Chrome-Plated/dp/B000FNK8G8,$7.29,27,Outdoor Recreation,Sports & Outdoors,"44,980","Rome's #3200 Extension Fork, Chrome Plated Steel"
